Ticket Class,Ticket Priority,Ticket Number,Ticket Status,Opened Date,Hostname,OS Type,Ticket Summary,Queue ID,Ticket Resolved Date,Resolution Code,Resolution Text,Ticket Closed Date,Call code,Reported By,Executed Automata,Recommended Automata,Actionable,Assignment Queue,Autogenerated,Automation Engine,Business Application,Closure Code,Sub Category,Category,Alert Key,Target Finish Date,Time to resolve (min)
INCIDENT,3,IN88258144,RESOLVED,"Nov 14, 2025 1:15 AM",fgceogqt058,LINUX,acme#efbdnftw614#Filesystem /home/pocman exceeded warning limit. Current usage: 95 %. (18165 MB of 192,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 3:20 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,disk-handler,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,disk-handler,cnn_hqq_i42u_nkpsv,"Nov 14, 2025 3:20 AM",125
INCIDENT,2,IN71843652,CLOSED,"Nov 14, 2025 1:00 AM",UNKNOWN,UNKNOWN,[P2][BT WEB][PRD] eCommerce endpoint pl-0-eu-west-1.18itl.mongodb.net:1026 is unavailable during last 5 minutes,K-QQM-HP-QOF-KPR-FDQON,"Nov 14, 2025 3:05 AM",RESET,downtime at moment downgrade IOPS with failover<!-- RICH TEXT -->,"Nov 14, 2025 3:06 AM",EVENTMANAGEMENT,x,UNKNOWN,server-unavailable,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,server-unavailable,UNKNOWN,"Nov 14, 2025 3:05 AM",125
INCIDENT,1,IN88258016,IN PROGRESS,"Nov 14, 2025 1:00 AM",fgkdoqtqohif5,LINUX,acme /dev/PSYIXPRD::/PRD: : File system usage exceeded major threshold,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 1:05 AM",UNKNOWN,UNKNOWN,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,disk-handler,Y,Y,Y,1,Internet Banking,UNKNOWN,UNKNOWN,disk-handler,cnn_hqq_i42u_nkpsv,UNKNOWN,5
INCIDENT,3,IN88246652,RESOLVED,"Nov 13, 2025 11:38 PM",fgceogqto502,LINUX,acme#efbdnftwm168#Filesystem /var exceeded warning limit. Current usage: 95 %. (4136 MB of 4386 MB fs,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 3:43 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,disk-handler,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,disk-handler,cnn_hqq_i42u_nkpsv,"Nov 14, 2025 3:43 AM",245
INCIDENT,3,IN88241369,RESOLVED,"Nov 13, 2025 10:54 PM",fgkdoqtp94446,LINUX,acme#efjcntwo50006#(Received during suppression and Re-fired) Filesystem /var/log exceeded warning li,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 11:48 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,disk-handler,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,disk-handler,cnn_hqq_i42u_nkpsv,"Nov 13, 2025 11:48 PM",55
INCIDENT,2,IN88248123,RESOLVED,"Nov 13, 2025 10:49 PM",fgceogqto523,WINDOWS,acme#efbdnftwm189#Windows Logical Drive: C: space problem. Percent Free: 3 % MB Free:3353 MB.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 12:19 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,disk-handler,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,disk-handler,cnn_fqmqneg_i40e_ukp,"Nov 14, 2025 12:19 AM",90
INCIDENT,3,IN88342063,RESOLVED,"Nov 13, 2025 10:47 PM",fgkdoqts5445,Linux,acme#deibmsvu1001#Filesystem /var/log exceeded warning limit. Current usage: 95 %. (10436 MB of 11086,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 12:42 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,disk-handler,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,disk-handler,cnn_hqq_i42u_nkpsv,"Nov 14, 2025 12:42 AM",115
INCIDENT,3,IN88241223,RESOLVED,"Nov 13, 2025 10:42 PM",fgceogqt974,LINUX,acme#efbdnftw530#(Received during suppression) The process /usr/local/bin/resamad does not exist or in,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 14, 2025 3:34 AM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,UNKNOWN,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cnn_npmeomp_i42u_nkpsv,"Nov 14, 2025 3:34 AM",292
INCIDENT,3,IN88342052,RESOLVED,"Nov 13, 2025 10:37 PM",fgceogqto431,WINDOWS,acme#efacmetum097#Page Life Expectancy is less than 300 seconds : current value 42,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 10:52 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,database-handler,ceog_ninkhg_imou_joqon,"Nov 13, 2025 10:52 PM",15
INCIDENT,2,IN88311336,CLOSED,"Nov 13, 2025 9:26 PM",fgceogqto411,WINDOWS,acme#CRITICAL state: System acme_efibmtwv10142:NT has been restarted recently. Current Uptime is 107 s,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 9:47 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,"Nov 28, 2025 7:49 AM",EVENTMANAGEMENT,x,UNKNOWN,server-unavailable,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,server-unavailable,cnn_qwqsnr_ipre_ukp,"Nov 13, 2025 9:47 PM",21
INCIDENT,3,IN88254175,RESOLVED,"Nov 13, 2025 8:25 PM",fgceogqtc47,LINUX,acme#efbdnftwa03#Logfilemonitoring is not running properly. Errormsg: PREVIOUS SCRIPT INSTANCE FOUND,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 8:30 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,batch-job-schedule-failures,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,batch-job-schedule-failures,cnn_nmiqepn_i42u_nkpsv,"Nov 13, 2025 8:30 PM",5
INCIDENT,3,IN88254099,RESOLVED,"Nov 13, 2025 7:47 PM",fgceogqtc47,LINUX,acme#efbdnftwa03#Logfilemonitoring is not running properly. Errormsg: PREVIOUS SCRIPT INSTANCE FOUND,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 8:02 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,batch-job-schedule-failures,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,batch-job-schedule-failures,cnn_nmiqepn_i42u_nkpsv,"Nov 13, 2025 8:02 PM",15
INCIDENT,3,IN88254974,RESOLVED,"Nov 13, 2025 7:33 PM",fgceogqtj62,WINDOWS,acme#efbdnftwh28#Cleared and Re-fired: Page Life Expectancy is less than 300 seconds : current value -,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 7:49 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,database-handler,ceog_ninkhg_imou_joqon,"Nov 13, 2025 7:49 PM",16
INCIDENT,2,IN88342867,RESOLVED,"Nov 13, 2025 7:32 PM",fgceogqtl15,UNIX,acme#efacmetuj71#The number of zombie processes is too high. Current number: 54.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 7:47 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,zombie-process,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,zombie-process,cnn_xmo_vsve_ckv,"Nov 13, 2025 7:47 PM",15
INCIDENT,2,IN72907015,CLOSED,"Nov 13, 2025 7:23 PM",conqt507gee4t,UNIX,vy1 vy1_bnqtw163ecc0v Flood Suppressed: ITM Agent Offline: S4A-bnqtw163ecc0v:Sys,K-QWQ-KP-FQR-QOF-SPK-DCSQCN,"Nov 13, 2025 8:34 PM",WORK AS DESIGN,checked with bluecare report agents are up and running fine.<br />Hence closing the incident.,"Nov 24, 2025 7:42 AM",PHONECALL,x,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,0,ACME_DC_Application20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Nov 13, 2025 8:34 PM",70
INCIDENT,2,IN71887046,QUEUED,"Nov 13, 2025 7:06 PM",ngfed139,LINUX,edd#ledcb795#SAP: PA1-sappa1as01_PA1_00:Ins:PA1: an alert of class: occured. Process Execute InfoPa,K-QWQ-KP-FQR-OFF-DCF-QCN-CH-FCP,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,application-handler,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,application-handler,gff_cneeoq_iqc6_owqcn,UNKNOWN,UNKNOWN
INCIDENT,2,IN71887860,QUEUED,"Nov 13, 2025 6:06 PM",ngfed139,LINUX,edd#ledcb795#SAP: PA1-sappa1as01_PA1_00:Ins:PA1: an alert of class: occured. Process Execute InfoPa,K-QWQ-KP-FQR-OFF-DCF-QCN-CH-FCP,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,application-handler,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,application-handler,gff_cneeoq_iqc6_owqcn,UNKNOWN,UNKNOWN
INCIDENT,2,IN88010679,CLOSED,"Nov 13, 2025 5:57 PM",fgceogqt054,UNIX,acme#Offline agent - TELNDBP:acme_efbdnftw610:RZ is not connected to Shared ITM6 Monitoring Environment,K-QQM-KP-FCR-FDO-CEOG-MPC,"Nov 13, 2025 6:11 PM",AUTOMATION,Transaction Time: 2021 14-26-54T09:29:14Z--Ansible Tower Job ID:x--EVENT_ALLOWED_FOR_AUTOMATION: YES--SOCKS_CONNECTION: NOT APPLICABLE--CONNECTION: SUCCESS--LOGIN: SUCCESS--MATCHER FOUND: YES--PLAYBOOK/ROLE USED: itm-agent-offline:2.2.1:cacm--CLOSURE CODE: Remediation with Corrective Closure--RC: 0--RESULTS: resolve--Automation Result: Startup status:\\n [ OK ] The agent rz was successfully restarted on efifotw64.2\\n [ OK ] new agent PID:x\\n Connectivity status:\\n Agent log check: [ OK ] Agent log check: Successfully connected to CMS is present in one of the files /opt/IBM/ITM/logs/efifotw610_rz_SAPDSD_x_61545dd2-01.log\\n PID connection check:\\n [ NOK ] TCP/IP connection is NOT established between rz agent process IDx and RTEMS host on port 3660\\n The server uptime 02:28PM up 73 days 9:46 1 user load average: 4.06 3.84 3.71,"Nov 13, 2025 6:15 PM",EVENTMANAGEMENT,x,UNKNOWN,itm-agent-offline,Y,Y,Y,1,ACME_DC_Application9,UNKNOWN,UNKNOWN,itm-agent-offline,cnn_nmicnpr_v416_ckv,"Nov 13, 2025 6:11 PM",14
INCIDENT,1,IN88239962,RESOLVED,"Nov 13, 2025 5:38 PM",fgceogqt347,UNIX,acme#Status of database on node PIMPRD:acme_efacmetu903:RZ is Inactive.,K-QQM-KP-FCR-FDO-CEOG-MPC,"Nov 13, 2025 7:42 PM",AUTOMATION,The database is shutdown the bulk of false alerts received in our queue acmece as there is no impact we are closing this incident.,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,0,ACME_DC_Application10,UNKNOWN,UNKNOWN,database-handler,UNKNOWN,"Nov 13, 2025 7:42 PM",124
INCIDENT,1,IN88175542,RESOLVED,"Nov 13, 2025 5:29 PM",UNKNOWN,UNKNOWN,efbdnftwa68 - efbdnftwa68 - AGENTALIVE: CRITICAL,K-QQM-KP-CJQ-DEQ-CEOG-QCN,"Nov 13, 2025 9:44 PM",AUTOMATION,change is goin onCHxSAP : CUSTOMER : SAP Z32 : Shutdown Server efbdnftwa68,UNKNOWN,EMAIL,x,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Nov 13, 2025 9:44 PM",256
INCIDENT,3,IN88241758,RESOLVED,"Nov 13, 2025 5:04 PM",fgceogqtc47,LINUX,acme#efbdnftwa03#Logfilemonitoring is not running properly. Errormsg: PREVIOUS SCRIPT INSTANCE FOUND,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 5:09 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,batch-job-schedule-failures,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,batch-job-schedule-failures,cnn_nmiqepn_i42u_nkpsv,"Nov 13, 2025 5:09 PM",5
INCIDENT,1,IN88243328,RESOLVED,"Nov 13, 2025 5:03 PM",fgceogqt348,UNIX,acme#Status of database STAGEGTE on node STAGEGTE:acme_efbdnftw904:RZ is Inactive.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 5:05 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,1,ACME_DC_Application11,UNKNOWN,UNKNOWN,database-handler,cnn_fdkpcer_ipxh_mpcpce,"Nov 13, 2025 5:05 PM",2
INCIDENT,1,IN88243327,RESOLVED,"Nov 13, 2025 5:03 PM",fgceogqt347,UNIX,acme#Status of database STAGEGTE on node STAGEGTE:acme_efbdnftw903:RZ is Inactive.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 5:05 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,1,ACME_DC_Application10,UNKNOWN,UNKNOWN,database-handler,cnn_fdkpcer_ipxh_mpcpce,"Nov 13, 2025 5:05 PM",2
INCIDENT,2,IN88175497,CLOSED,"Nov 13, 2025 4:59 PM",UNKNOWN,UNKNOWN,efbdnftwa68 - efbdnftwa68_Z32_32 - RFCCONNECT: CRITICAL,K-QQM-KP-CJQ-DEQ-CEOG-QCN,"Nov 13, 2025 6:02 PM",AUTOMATION,The system is goining to decommission CHx,"Nov 28, 2025 1:13 PM",EMAIL,x,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Nov 13, 2025 6:02 PM",63
INCIDENT,2,IN88175487,CLOSED,"Nov 13, 2025 4:54 PM",UNKNOWN,UNKNOWN,efbdnftwa68 - ACME_Z32 - DBCONNECT: CRITICAL,K-QQM-KP-CJQ-DEQ-CEOG-QCN,"Nov 13, 2025 6:02 PM",AUTOMATION,The system is goining to decommission CHx,"Nov 28, 2025 1:13 PM",EMAIL,x,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Nov 13, 2025 6:02 PM",68
INCIDENT,3,IN88241619,RESOLVED,"Nov 13, 2025 4:44 PM",fgceogqtc47,LINUX,acme#efbdnftwa03#Logfilemonitoring is not running properly. Errormsg: PREVIOUS SCRIPT INSTANCE FOUND,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 4:54 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,batch-job-schedule-failures,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,batch-job-schedule-failures,cnn_nmiqepn_i42u_nkpsv,"Nov 13, 2025 4:54 PM",10
INCIDENT,3,IN88175463,CLOSED,"Nov 13, 2025 4:40 PM",UNKNOWN,UNKNOWN,efbdnftwa68 - efbdnftwa68_Z32_01 - ASCS_MSGSRV: CRITICAL,K-QQM-KP-CJQ-DEQ-CEOG-QCN,"Nov 13, 2025 6:20 PM",ACTIVATED,<div>z32 decommission in progress<span style= background-color: rgb(248 248 248); color: rgb(29 28 29); font-family: Slack-Lato appleLogo sans-serif; font-size: 15px; font-variant-ligatures: common-ligatures; >CHx</span></div><!-- RICH TEXT -->,"Nov 21, 2025 1:10 PM",EMAIL,x,UNKNOWN,network connectivity issues,Y,Y,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,network connectivity issues,UNKNOWN,"Nov 13, 2025 6:20 PM",101
INCIDENT,3,IN88175461,CLOSED,"Nov 13, 2025 4:40 PM",UNKNOWN,UNKNOWN,efbdnftwa68 - ACME_Z32 - SystemAlive: CRITICAL,K-QQM-KP-CJQ-DEQ-CEOG-QCN,"Nov 13, 2025 6:23 PM",ACTIVATED,z32 decommission in progress<span style= background-color: rgb(248 248 248); color: rgb(29 28 29); font-family: Slack-Lato appleLogo sans-serif; font-size: 15px; font-variant-ligatures: common-ligatures; >CHx</span><!-- RICH TEXT -->,"Nov 21, 2025 1:10 PM",EMAIL,x,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Nov 13, 2025 6:23 PM",104
INCIDENT,3,IN71884719,RESOLVED,"Nov 13, 2025 4:30 PM",UNKNOWN,UNKNOWN,INC11524610 - x- Network|Throughput - EdgeServicesGateway - Edge resource usage is high,K-QWQ-KP-FQR-QOF-KPR-PQV,"Nov 13, 2025 6:22 PM",THIRD PARTY,issue: x- Network|Throughput - EdgeServicesGateway - Edge resource usage is high<br />action taken:Edge resource usage is normal.<br />do next; closing the INC345ident.<br />email communication; n/a,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,high-memory-swap-space-handler,Y,Y,Y,0,UNKNOWN,UNKNOWN,UNKNOWN,high-memory-swap-space-handler,UNKNOWN,"Nov 13, 2025 6:22 PM",112
INCIDENT,3,IN88241696,RESOLVED,"Nov 13, 2025 4:24 PM",fgceogqtc47,LINUX,acme#efbdnftwa03#Logfilemonitoring is not running properly. Errormsg: PREVIOUS SCRIPT INSTANCE FOUND,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 4:34 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,batch-job-schedule-failures,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,batch-job-schedule-failures,cnn_nmiqepn_i42u_nkpsv,"Nov 13, 2025 4:34 PM",10
INCIDENT,1,IN88248453,RESOLVED,"Nov 13, 2025 3:33 PM",fgkdoqtqn67f5,LINUX,acme#Status of database P23 on node P23:acme_deibmsvsp23d1:RZ is Inactive.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 3:41 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,1,ACME_DC_Application8,UNKNOWN,UNKNOWN,database-handler,ceog_fdkpcer_ipxh_qcnmpc,"Nov 13, 2025 3:41 PM",8
INCIDENT,1,IN88247338,RESOLVED,"Nov 13, 2025 3:21 PM",fgkdoqtqn67f5,LINUX,acme#Status of database P23 on node P23:acme_deibmsvsp23d1:RZ is Inactive.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 3:23 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,database-handler,Y,Y,Y,1,ACME_DC_Application8,UNKNOWN,UNKNOWN,database-handler,ceog_fdkpcer_ipxh_qcnmpc,"Nov 13, 2025 3:23 PM",2
INCIDENT,2,IN88341335,RESOLVED,"Nov 13, 2025 3:17 PM",fgceogqt423,UNIX,acme#efacmetu089#The number of zombie processes is too high. Current number: 84.,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 3:32 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,zombie-process,Y,Y,Y,0,My web application,UNKNOWN,UNKNOWN,zombie-process,cnn_xmo_vsve_ckv,"Nov 13, 2025 3:32 PM",15
INCIDENT,3,IN88250457,RESOLVED,"Nov 13, 2025 3:10 PM",fgceogqtc47,LINUX,acme#efbdnftwa03#Logfilemonitoring is not running properly. Errormsg: PREVIOUS SCRIPT INSTANCE FOUND,K-QQM-VV-QOM-MRJ-OCSRM,"Nov 13, 2025 3:20 PM",AUTOMATION,*** Automation application have automatically resolved the problem ***,UNKNOWN,EVENTMANAGEMENT,x,UNKNOWN,batch-job-schedule-failures,Y,Y,Y,1,UNKNOWN,UNKNOWN,UNKNOWN,batch-job-schedule-failures,cnn_nmiqepn_i42u_nkpsv,"Nov 13, 2025 3:20 PM",10
